COUNT_time,drivinstage,turn,omega,hsv.val,distance,gyro_deg
2328,100,-3,0,21,255,0
2332,100,-3,0,21,255,0
2336,100,-3,0,21,255,0
2340,100,-3,0,21,255,0
2344,100,-3,0,21,255,0
2348,100,-3,0,21,255,0
2352,100,-3,0,21,255,0
2356,100,-3,0,21,255,0
2360,100,-3,0,21,255,0
2364,100,-3,0,21,255,0
2368,100,-3,0,21,255,0
2372,100,1,0,20,255,0
2376,100,0,0,20,255,0
2380,100,0,0,20,255,0
2384,100,0,0,20,255,0
2388,100,0,0,20,255,0
2392,100,0,0,20,255,0
2396,100,0,0,20,255,0
2400,100,0,0,20,255,0
2404,100,0,0,20,255,0
2408,100,0,0,20,255,0
2412,100,0,0,20,255,0
2416,100,0,0,20,255,0
2420,100,0,0,20,255,0
2424,100,5,0,19,255,0
2428,100,3,0,19,255,0
2432,100,3,0,19,255,0
2436,100,3,0,19,255,0
2440,100,3,0,19,255,0
2444,100,3,0,19,255,0
2448,100,3,0,19,255,0
2452,100,3,0,19,255,0
2456,100,3,0,19,255,0
2460,100,3,0,19,255,0
2464,100,3,0,19,255,0
2468,100,3,0,19,255,0
2472,100,3,0,19,255,0
2476,100,3,0,19,255,0
2480,100,3,0,19,255,0
2484,100,3,0,19,255,0
2488,100,3,0,19,255,0
2492,100,3,0,19,255,0
2496,100,3,0,19,255,0
2500,100,3,0,19,255,0
2504,100,3,0,19,255,0
2508,100,3,0,19,255,0
2512,100,3,0,19,255,0
2516,100,3,0,19,255,0
2520,100,3,0,19,255,0
2524,100,3,0,19,255,0
2528,100,3,0,19,255,0
2532,100,3,0,19,255,0
2536,100,3,0,19,255,0
2540,100,3,0,19,255,0
2544,100,3,0,19,255,0
2548,100,3,0,19,255,0
2552,100,3,0,19,255,0
2556,100,3,0,19,255,0
2560,100,3,0,19,255,0
2564,100,3,0,19,255,0
2568,100,3,0,19,255,0
2572,100,3,0,19,255,0
2576,100,3,0,19,255,0
2580,100,3,0,19,255,0
2584,100,3,0,19,255,0
2588,100,3,0,19,255,0
2592,100,3,0,19,255,0
2596,100,3,0,19,255,0
2600,100,3,0,19,255,0
2604,100,-1,0,20,255,0
2608,100,0,0,20,255,0
2612,100,0,0,20,255,0
2616,100,0,0,20,255,0
2620,100,0,0,20,255,0
2624,100,0,0,20,255,0
2628,100,0,0,20,255,0
2632,100,0,1,20,255,0
2636,100,0,1,20,255,0
2640,100,0,1,20,255,0
2644,100,0,1,20,255,0
2648,100,0,1,20,255,0
2652,100,0,1,20,255,0
